type_index,namespace,name
0,,<Module>
1,System,Object
2,System,ValueType
3,System,Attribute
4,System.Runtime.InteropServices,_Attribute
5,System,Int32
6,System,IFormattable
7,System,IConvertible
8,System,IComparable
9,System,IComparable`1
10,System,SerializableAttribute
11,System,AttributeUsageAttribute
12,System.Runtime.InteropServices,ComVisibleAttribute
13,System,IEquatable`1
14,System,Int64
15,System,UInt32
16,System,CLSCompliantAttribute
17,System,UInt64
18,System,Byte
19,System,SByte
20,System,Int16
21,System,UInt16
22,System.Collections,IEnumerator
23,System.Collections,IEnumerable
24,System,IDisposable
25,System.Collections.Generic,IEnumerator`1
26,System,Char
27,System,String
28,System,ICloneable
29,System.Collections.Generic,IEnumerable`1
30,System,Single
31,System,Double
32,System,Decimal
33,System,Boolean
34,System,IntPtr
35,System.Runtime.Serialization,ISerializable
36,System,UIntPtr
37,System,MulticastDelegate
38,System,Delegate
39,System,Enum
40,System,Array
41,,InternalEnumerator`1
42,,SimpleEnumerator
43,,ArrayReadOnlyList`1
44,,<GetEnumerator>c__Iterator0
45,,Swapper
46,System.Collections,ICollection
47,System.Collections,IList
48,System.Collections.Generic,IList`1
49,System.Collections.Generic,ICollection`1
50,System,Void
51,System,Type
52,System.Reflection,MemberInfo
53,System.Reflection,ICustomAttributeProvider
54,System.Runtime.InteropServices,_MemberInfo
55,System.Reflection,IReflect
56,System.Runtime.InteropServices,_Type
57,System,Exception
58,System.Runtime.InteropServices,_Exception
59,System,RuntimeFieldHandle
60,System,RuntimeTypeHandle
61,System,ParamArrayAttribute
62,System.Runtime.InteropServices,OutAttribute
63,System,ObsoleteAttribute
64,System.Runtime.InteropServices,DllImportAttribute
65,System.Runtime.InteropServices,MarshalAsAttribute
66,System.Runtime.InteropServices,InAttribute
67,System.Security.Permissions,SecurityAttribute
68,System.Runtime.InteropServices,GuidAttribute
69,System.Runtime.InteropServices,ComImportAttribute
70,System.Runtime.InteropServices,OptionalAttribute
71,System.Runtime.CompilerServices,FixedBufferAttribute
72,System.Runtime.CompilerServices,CompilerGeneratedAttribute
73,System.Runtime.CompilerServices,InternalsVisibleToAttribute
74,System.Runtime.CompilerServices,RuntimeCompatibilityAttribute
75,System.Diagnostics,DebuggerHiddenAttribute
76,System.Reflection,DefaultMemberAttribute
77,System.Runtime.CompilerServices,DecimalConstantAttribute
78,System.Runtime.InteropServices,FieldOffsetAttribute
79,System,RuntimeArgumentHandle
80,System,AsyncCallback
81,System,IAsyncResult
82,System,TypedReference
83,System,ArgIterator
84,System,MarshalByRefObject
85,System,Nullable`1
