gameobject_id,name,asset,component_count
1,Vent Heat Button,level0,5
2,Info Banner,level0,4
3,Heat Info,level0,3
4,GenericTile,level0,2
5,Help Button,level0,5
6,GenericTile,level0,2
7,Power Label,level0,3
8,GenericTile,level0,2
9,GenericTile,level0,2
10,Input Canvas,level0,3
11,GenericTile,level0,2
12,HeatBar,level0,3
13,Controller,level0,3
14,Extreme Coolant,level0,5
15,Heat Info,level0,3
16,Heat Info,level0,3
17,Experimental Components,level0,5
18,Options Page,level0,1
19,Upgrade Shop Manager,level0,2
20,Back Button,level0,5
21,Header,level0,3
22,Basics Help,level0,4
23,Money Label,level0,3
24,Simulation,level0,4
25,Reactor UI,level0,3
26,Bare Minimum Info,level0,3
27,Upgrade Panel,level0,3
28,Label,level0,3
29,Options Button,level0,5
30,GenericTile,level0,2
31,Label,level0,3
32,DEPRECATED,level0,1
33,Vertical Scrollbar,level0,3
34,Label,level0,3
35,GenericTile,level0,2
36,InputField,level0,4
37,Fill,level0,3
38,Replace Button,level0,5
39,GenericTile,level0,2
40,GenericTile,level0,2
41,Bare Minimum Info,level0,3
42,Label,level0,3
43,Label,level0,3
44,Bare Minimum Info,level0,3
45,GenericTile,level0,2
46,Text Overlay,level0,3
47,Text,level0,3
48,Description Label,level0,3
49,Export Button,level0,5
50,Component Root,level0,2
51,Heat Help,level0,4
52,Reset Button,level0,5
53,Name Label,level0,3
54,Bare Minimum Info,level0,3
55,Vertical Scrollbar Root,level0,1
56,GenericTile,level0,2
57,Prestige Explanation,level0,3
58,Upgrade Shop Root,level0,1
59,Bare Minimum Info,level0,3
60,Label,level0,3
61,GenericTile,level0,2
62,Bare Minimum Info,level0,3
63,Label,level0,3
64,Heat Info,level0,3
65,Background,level0,3
66,GenericTile,level0,2
67,PrestigeButton,level0,5
68,Label,level0,3
69,Import Button,level0,5
70,Bare Minimum Info,level0,3
71,GenericTile,level0,2
72,Label,level0,3
73,Heat Info,level0,3
74,Bare Minimum Info,level0,3
75,Statistic Button,level0,5
76,Text Overlay,level0,3
77,Status Label,level0,3
78,Label,level0,3
79,Bare Minimum Info,level0,3
80,Sell Power Button,level0,5
81,Bare Minimum Info,level0,3
82,GenericTile,level0,2
83,Horizontal Scrollbar Root,level0,1
84,Label,level0,3
85,EventSystem,level0,3
86,SideGrid,level0,3
87,Label,level0,3
88,Main Upgrades,level0,5
89,Heat Management,level0,5
90,Grid Frame,level0,3
91,The Unknown,level0,5
92,Grid Backer,level0,4
93,Main Camera,level0,5
94,Statistics,level0,3
95,Power Generation,level0,5
96,Fill,level0,3
97,GenericTile,level0,2
98,GenericTile,level0,2
99,GenericTile,level0,2
100,Bare Minimum Info,level0,3
101,Pause Button,level0,5
102,Horizontal Scrollbar,level0,3
103,Placeholder,level0,3
104,Background,level0,3
105,Shop Manager,level0,2
106,GenericTile,level0,2
107,Tile Root,level0,2
108,GenericTile,level0,2
109,Power Bar,level0,3
110,Heat Label,level0,3
111,GenericTile,level0,2
112,Bare Minimum Info,level0,3
113,Bare Minimum Info,level0,3
114,Heat Info,level0,3
115,Prestige Upgrades,level0,5
116,Extreme Capacitor,level0,5
117,Statistics Page,level0,2
118,Shop Root,level0,1
119,Bare Minimum Info,level0,3
120,Bare Minimum Info,level0,3
121,Cost Label,level0,3
131,BuyableComponentPrefab,sharedassets0.assets,5
132,Generic Reactor Component,sharedassets0.assets,4
133,Upgrade Icon Prefab,sharedassets0.assets,4
134,Explosion Prefab,sharedassets0.assets,3
135,Level Indicator,sharedassets0.assets,3
136,Component Icon,sharedassets0.assets,3
137,Base,sharedassets0.assets,3
138,Fill,sharedassets0.assets,3
139,Background,sharedassets0.assets,3
140,Fill,sharedassets0.assets,3
141,Durability Bar,sharedassets0.assets,3
142,Background,sharedassets0.assets,3
143,Heat Bar,sharedassets0.assets,3
144,Component Icon Root,sharedassets0.assets,1
145,Level Icon Root,sharedassets0.assets,1
146,Generic Tile Prefab,sharedassets0.assets,3
